dataset,model,surrogate,seed,best_test_acc,final_test_acc,seconds,epochs,batch_size,budget_steps,train_subset,test_subset,train_loss,train_acc,test_loss,test_acc,train_total_spikes,train_mean_spikes_per_neuron_per_timestep,test_total_spikes,test_mean_spikes_per_neuron_per_timestep
mnist,small_resnet,sigmoid,43,0.915,0.7102,1409.0097289085388,50,256,3950,20000,5000,0.11023696964979171,0.96455,0.8581958400726318,0.7102,2188756403.0,0.008400862645681868,506029718.0,0.03030377051145353
mnist,small_resnet,sigmoid,44,0.9288,0.9288,1417.9112899303436,50,256,3950,20000,5000,0.10748922233581543,0.96485,0.23855663838386534,0.9288,1945426643.0,0.007466916826693105,464609297.0,0.027823293796700996
nmnist,simple_cnn,adali,42,0.9218,0.8606,1119.3941190242767,30,256,2370,20000,5000,0.12186641827821731,0.96475,0.4255888004779816,0.8606,518069611.0,0.02715749094734944,130597303.0,0.10681442940614531
nmnist,simple_cnn,adali,43,0.9414,0.8668,947.9750974178314,30,256,2370,20000,5000,0.11911460645198822,0.96785,0.40484654512405394,0.8668,520996606.0,0.027310925618149767,132190464.0,0.10811746231155779
nmnist,simple_cnn,adali,44,0.9244,0.9026,972.4949107170105,30,256,2370,20000,5000,0.12280431652069092,0.967,0.3023035406589508,0.9026,520032449.0,0.027260383983505762,130463144.0,0.10670470189489112
nmnist,simple_cnn,sigmoid,42,0.8696,0.8364,943.9955520629883,30,256,2370,20000,5000,0.34814441232681276,0.89895,0.5162466899871826,0.8364,677573534.0,0.035518773394659836,172738217.0,0.1412811264983773
nmnist,simple_cnn,sigmoid,43,0.8816,0.874,928.4170989990234,30,256,2370,20000,5000,0.33228162450790405,0.90245,0.41167416791915895,0.874,666174141.0,0.034921211009934706,168822475.0,0.13807847423968803
nmnist,simple_cnn,sigmoid,44,0.8796,0.8796,939.660177230835,30,256,2370,20000,5000,0.3240066700935364,0.9074,0.38439536161422727,0.8796,755577242.0,0.03960777021842777,192190539.0,0.15719101611573494
nmnist,small_resnet,adali,42,0.9048,0.4794,9679.883715867996,30,256,2370,20000,5000,0.07548802555799485,0.9762,1.6743416265487672,0.4794,1909476639.0,0.004896364862674547,488069403.0,0.019526985200713984
nmnist,small_resnet,adali,43,0.9408,0.9408,10027.036710500717,30,256,2370,20000,5000,0.09452593624591828,0.9699,0.20993736412525177,0.9408,2032440605.0,0.005211674529313264,528369901.0,0.021139352669746668
nmnist,small_resnet,adali,44,0.9162,0.841,11183.520698070526,30,256,2370,20000,5000,0.09484498889446258,0.9689,0.46871422266960144,0.841,1898442206.0,0.0048680698791606185,481838782.0,0.019277706628219125
nmnist,small_resnet,sigmoid,42,0.8272,0.7568,9169.08948802948,30,256,2370,20000,5000,0.3323007163524628,0.89065,0.712314529800415,0.7568,2498161391.0,0.006405896467310784,608637466.0,0.024350747492323466
nmnist,small_resnet,sigmoid,43,0.8592,0.8592,9138.911576509476,30,256,2370,20000,5000,0.3592489938735962,0.88555,0.4589004626750946,0.8592,2250294667.0,0.0057703055974191045,530677718.0,0.021231685252219485
nmnist,small_resnet,sigmoid,44,0.7462,0.6052,6896.7766971588135,30,256,2370,20000,5000,0.37380175681114197,0.8792,1.1129917112350465,0.6052,2836464443.0,0.0072733881888203235,666699995.0,0.026673749380026365
